"stop_condition","status","evidence","action"
"branch_or_head_mismatch","not_hit","Branch and starting HEAD matched before execution.","continued"
"dirty_worktree_before_worker","not_hit","Git status was clean before worker attempt.","continued"
"preflight_failed","not_hit","Kernel preflight returned GREEN.","continued"
"role_preflight_failed","not_hit","Role-aware preflight returned GREEN.","continued"
"missing_exact_approval","not_hit","Approval ledger returned MATCHED_ACTIVE_APPROVAL for the exact action.","continued"
"codex_auth_or_execution_approval_needed","hit","Codex CLI rejected service_tier=null before worker action: unknown variant null, expected fast or flex.","stop_after_single_attempt"
"expected_artifact_missing","hit","Expected fixture artifact was not created.","verifier_red"
"forbidden_path_touched","not_hit","Git status after worker attempt showed no touched paths.","continued"
"danger_full_access_requested_or_used","not_hit","danger-full-access was not used or requested.","continued"
"ignore_user_config_used","not_hit","--ignore-user-config was not used.","continued"
"api_or_background_or_all_fleet","not_hit","No API, background runner, persistent runner, all-fleet, deploy, install, or migration occurred.","continued"
