"stop_condition","status","evidence","action"
"branch_or_head_mismatch","not_hit","Branch and HEAD matched expected values.","continued"
"dirty_worktree","not_hit","Worktree was clean before diagnostic artifacts were written.","continued"
"worker_prompt_would_run","not_hit","Only version and --help diagnostics were run.","continued"
"service_tier_fast_not_parser_clean","not_hit","service_tier=fast help command exited 0.","continued"
"service_tier_flex_not_parser_clean","not_hit","service_tier=flex help command exited 0.","continued"
"plugin_warning_returned","not_hit","No plugin manifest warning appeared in help diagnostics.","continued"
"auth_or_credential_risk","not_hit","No auth files, credentials, tokens, API keys, account IDs, or endpoints were read or printed.","continued"
"config_edit_required","not_hit","No config edit was required or performed.","continued"
"danger_full_access_required","not_hit","danger-full-access was not used or recommended.","continued"
"api_or_external_paid_call","not_hit","No API or paid external call occurred.","continued"
"background_runner_or_all_fleet","not_hit","No background runner, persistent runner, or all-fleet command occurred.","continued"
